Fluo 0.1 target,,Fluo 0.1 target,,Fluo 0.08 target,,Fluo 0.06 target,,Fluo 0.04 target,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
606.0633545,0.00341389305,,,606.0633545,0.0003145248338,606.0633545,0.0001898633054,606.0633545,0.0004527744313,
605.0284424,0.003338994458,,,605.0284424,0.0003746020375,605.0284424,0.0006830721977,605.0284424,0.0006876612897,
603.9932861,0.003469338408,,,603.9932861,0.000511730439,603.9932861,0.0005267104134,603.9932861,0.0006919911248,
602.9578247,0.00332115218,,,602.9578247,0.0003486686037,602.9578247,0.0004773665278,602.9578247,0.0006024994655,
602.0700684,0.00358395651,,,602.0700684,0.0005221749307,602.0700684,0.0005782372318,602.0700684,0.0005970040802,
601.0341187,0.003374889959,,,601.0341187,0.0003295498318,601.0341187,0.0003945778008,601.0341187,0.0007117740461,
599.9978638,0.003757089376,,,599.9978638,0.0006975914002,599.9978638,0.0006421358557,599.9978638,0.0007773779216,
598.9613037,0.003886383492,,,598.9613037,0.0006580536719,598.9613037,0.0006357067032,598.9613037,0.000792678271,
598.0725708,0.003680199618,,,598.0725708,0.0005815550685,598.0725708,0.0004914383171,598.0725708,0.0008059563115,
597.0355225,0.003524268977,,,597.0355225,0.0006601017667,597.0355225,0.0008347440744,597.0355225,0.0008167968481,
595.9981689,0.003865515348,,,595.9981689,0.000615590252,595.9981689,0.0005574236275,595.9981689,0.0009329479653,
594.9605103,0.003811481642,,,594.9605103,0.0006816462846,594.9605103,0.0006562129711,594.9605103,0.0007627523155,
594.0709229,0.003807538422,,,594.0709229,0.0005871280446,594.0709229,0.0006617350737,594.0709229,0.0007848464884,
593.0327759,0.003876066767,,,593.0327759,0.0004920861684,593.0327759,0.0005197905703,593.0327759,0.0008008473087,
591.9943237,0.003979611211,,,591.9943237,0.0005749453558,591.9943237,0.0006635757745,591.9943237,0.0008890310419,
590.9555664,0.004131132271,,,590.9555664,0.0008980578859,590.9555664,0.0008355221362,590.9555664,0.0009743787814,
590.0650635,0.004097395111,,,590.0650635,0.0009309245506,590.0650635,0.0009381363634,590.0650635,0.0009449591162,
589.0258179,0.004006545991,,,589.0258179,0.0009560885374,589.0258179,0.0007399850874,589.0258179,0.0006850426435,
587.9863281,0.004300849512,,,587.9863281,0.001040152041,587.9863281,0.00104508223,587.9863281,0.001031563384,
586.9465332,0.004389903508,,,586.9465332,0.001180553692,586.9465332,0.001079179696,586.9465332,0.001136455918,
586.0550537,0.004209356382,,,586.0550537,0.0008675540448,586.0550537,0.0007010916597,586.0550537,0.0008976947283,
585.0147705,0.004287594464,,,585.0147705,0.001161631779,585.0147705,0.0009529234958,585.0147705,0.0009933961555,
