#MultiHarp 150  Histogram Data			2023-07-14 14:58:16
#channels per curve
65536
#display curve no.
0	1	2	3	
#memory block no.
0	1	2	3	
#ns/bin
0.0400	0.0400	0.0400	0.0400	
#counts
104	91	0	0	
103	90	0	0	
94	101	0	0	
101	105	0	0	
127	104	0	0	
93	84	0	0	
93	88	0	0	
93	102	0	0	
88	69	0	0	
84	98	0	0	
92	101	0	0	
80	100	0	0	
81	119	0	0	
72	86	0	0	
98	87	0	0	
87	98	0	0	
99	107	0	0	
109	93	0	0	
111	96	0	0	
83	105	0	0	
97	87	0	0	
104	82	0	0	
107	100	0	0	
92	88	0	0	
117	100	0	0	
109	87	0	0	
93	110	0	0	
97	92	0	0	
76	76	0	0	
88	88	0	0	
87	79	0	0	
93	87	0	0	
110	91	0	0	
83	86	0	0	
78	91	0	0	
99	88	0	0	
105	105	0	0	
71	81	0	0	
92	102	0	0	
99	97	0	0	
89	109	0	0	
97	88	0	0	
96	113	0	0	
90	68	0	0	
90	87	0	0	
95	98	0	0	
111	83	0	0	
92	94	0	0	
96	90	0	0	
79	98	0	0	
99	99	0	0	
76	79	0	0	
84	98	0	0	
86	86	0	0	
104	92	0	0	
91	82	0	0	
98	99	0	0	
106	81	0	0	
85	98	0	0	
82	74	0	0	
88	104	0	0	
80	88	0	0	
80	76	0	0	
82	67	0	0	
90	84	0	0	
89	88	0	0	
80	66	0	0	
80	83	0	0	
86	91	0	0	
82	72	0	0	
75	96	0	0	
84	73	0	0	
82	80	0	0	
87	87	0	0	
72	83	0	0	
84	72	0	0	
71	97	0	0	
84	89	0	0	
72	85	0	0	
81	70	0	0	
94	63	0	0	
80	72	0	0	
88	89	0	0	
84	73	0	0	
86	70	0	0	
79	75	0	0	
66	72	0	0	
80	80	0	0	
91	75	0	0	
78	75	0	0	
78	81	0	0	
82	76	0	0	
75	70	0	0	
82	81	0	0	
65	85	0	0	
84	82	0	0	
58	63	0	0	
68	84	0	0	
89	77	0	0	
73	66	0	0	
79	66	0	0	
83	79	0	0	
80	82	0	0	
71	82	0	0	
64	79	0	0	
63	84	0	0	
75	83	0	0	
86	62	0	0	
90	86	0	0	
80	62	0	0	
76	76	0	0	
63	82	0	0	
64	81	0	0	
76	63	0	0	
71	78	0	0	
81	60	0	0	
80	74	0	0	
71	66	0	0	
58	82	0	0	
65	67	0	0	
66	73	0	0	
72	87	0	0	
91	88	0	0	
76	72	0	0	
85	81	0	0	
77	69	0	0	
74	45	0	0	
74	75	0	0	
63	85	0	0	
62	57	0	0	
71	77	0	0	
68	71	0	0	
82	61	0	0	
74	67	0	0	
75	73	0	0	
62	71	0	0	
77	81	0	0	
71	89	0	0	
64	62	0	0	
74	72	0	0	
69	65	0	0	
63	75	0	0	
71	71	0	0	
54	68	0	0	
84	66	0	0	
52	66	0	0	
53	68	0	0	
73	76	0	0	
75	76	0	0	
75	63	0	0	
72	68	0	0	
79	66	0	0	
46	63	0	0	
79	68	0	0	
70	64	0	0	
69	66	0	0	
76	68	0	0	
69	72	0	0	
63	60	0	0	
82	69	0	0	
70	75	0	0	
71	81	0	0	
65	72	0	0	
65	65	0	0	
61	68	0	0	
72	83	0	0	
68	62	0	0	
74	56	0	0	
63	53	0	0	
64	57	0	0	
57	68	0	0	
60	60	0	0	
74	77	0	0	
64	61	0	0	
75	68	0	0	
64	65	0	0	
56	68	0	0	
52	66	0	0	
54	69	0	0	
58	60	0	0	
60	68	0	0	
87	55	0	0	
66	62	0	0	
73	68	0	0	
57	62	0	0	
65	78	0	0	
56	55	0	0	
50	48	0	0	
65	62	0	0	
61	73	0	0	
73	57	0	0	
56	67	0	0	
70	76	0	0	
55	67	0	0	
74	58	0	0	
60	62	0	0	
49	67	0	0	
55	66	0	0	
62	54	0	0	
67	71	0	0	
53	66	0	0	
64	78	0	0	
63	55	0	0	
87	43	0	0	
65	58	0	0	
58	61	0	0	
63	68	0	0	
72	66	0	0	
55	51	0	0	
52	60	0	0	
61	66	0	0	
72	63	0	0	
58	66	0	0	
63	53	0	0	
49	58	0	0	
66	75	0	0	
62	61	0	0	
52	63	0	0	
69	61	0	0	
62	62	0	0	
64	60	0	0	
54	57	0	0	
67	52	0	0	
59	63	0	0	
59	71	0	0	
75	58	0	0	
58	71	0	0	
58	64	0	0	
53	74	0	0	
67	67	0	0	
65	58	0	0	
57	64	0	0	
69	55	0	0	
53	57	0	0	
66	54	0	0	
